"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.0391","0.2266","0.5859","18.5","52.8","2019-10-02T21:27:01"
"-0.02","-0.29","10.33","-0.02","-0.29","10.33","0.9609","0.5156","0.8359","18.6","53.1","2019-10-02T21:27:12"
"0.01","-0.28","10.3","0.01","-0.28","10.3","0.5078","0.0938","0.7344","18.5","52.9","2019-10-02T21:27:22"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","0.7031","0.1562","0.3672","18.5","52.9","2019-10-02T21:27:32"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","0.75","-0.2578","0.8047","18.5","53.1","2019-10-02T21:27:42"
"-0.03","-0.29","10.31","-0.03","-0.29","10.31","1.0547","0.1875","0.8359","18.5","53.1","2019-10-02T21:27:52"
"-0.03","-0.2","10.27","-0.03","-0.2","10.27","1.1875","0.2969","0.6875","18.5","53.1","2019-10-02T21:28:03"
"-0.03","-0.28","10.28","-0.03","-0.28","10.28","1.3828","-0.3281","0.5469","18.5","53.1","2019-10-02T21:28:13"
"-0.03","-0.28","10.3","-0.03","-0.28","10.3","1.0625","-0.0938","0.6641","18.5","53.0","2019-10-02T21:28:23"
"-0.02","-0.28","10.32","-0.02","-0.28","10.32","1.1094","0.2344","0.5859","18.5","52.8","2019-10-02T21:28:33"
"-0.0","-0.28","10.31","-0.0","-0.28","10.31","1.2578","0.1797","0.3984","18.5","53.0","2019-10-02T21:28:43"
"-0.01","-0.3","10.27","-0.01","-0.3","10.27","0.5234","0.2344","0.4844","18.5","53.0","2019-10-02T21:28:53"
"-0.01","-0.28","10.34","-0.01","-0.28","10.34","0.7109","-0.0078","0.6172","18.5","53.0","2019-10-02T21:29:03"
"-0.0","-0.27","10.3","-0.0","-0.27","10.3","0.875","0.1172","0.6641","18.5","53.0","2019-10-02T21:29:13"
