"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","1.0391","0.5156","0.5391","18.5","52.9","2019-10-02T21:21:49"
"0.01","-0.28","10.31","0.01","-0.28","10.31","0.8984","-0.1172","0.5938","18.6","53.1","2019-10-02T21:22:00"
"-0.03","-0.29","10.3","-0.03","-0.29","10.3","1.1328","0.0","0.7109","18.5","52.9","2019-10-02T21:22:10"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.6875","0.375","0.5625","18.5","52.8","2019-10-02T21:22:20"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","1.1797","-0.1875","0.4609","18.6","52.7","2019-10-02T21:22:30"
"-0.01","-0.27","10.33","-0.01","-0.27","10.33","1.1094","0.1094","0.5312","18.5","52.9","2019-10-02T21:22:40"
"-0.02","-0.28","10.29","-0.02","-0.28","10.29","0.9844","0.1797","0.5156","18.6","52.9","2019-10-02T21:22:50"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","1.0781","0.0234","0.6406","18.6","53.2","2019-10-02T21:23:00"
"-0.01","-0.28","10.29","-0.01","-0.28","10.29","0.875","0.0234","0.4922","18.6","53.2","2019-10-02T21:23:10"
"-0.03","-0.28","10.35","-0.03","-0.28","10.35","1.2266","0.2344","0.8828","18.5","53.1","2019-10-02T21:23:21"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.1562","-0.0312","0.4297","18.5","52.9","2019-10-02T21:23:31"
"-0.0","-0.29","10.35","-0.0","-0.29","10.35","0.8203","0.0156","0.6484","18.5","53.1","2019-10-02T21:23:41"
"-0.06","0.11","10.48","-0.06","0.11","10.48","1.1172","0.1094","0.1719","18.5","52.9","2019-10-02T21:23:51"
"0.0","-0.29","10.33","0.0","-0.29","10.33","1.125","-0.0469","0.7266","18.5","52.9","2019-10-02T21:24:01"
"-0.03","-0.31","10.32","-0.03","-0.31","10.32","0.8359","0.0859","0.6641","18.5","53.0","2019-10-02T21:24:11"
"-0.0","-0.29","10.33","-0.0","-0.29","10.33","0.8047","-0.2891","0.7734","18.5","53.0","2019-10-02T21:24:21"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","1.2188","0.1641","0.5312","18.5","53.1","2019-10-02T21:24:31"
"-0.0","-0.29","10.32","-0.0","-0.29","10.32","0.9062","-0.0312","0.6875","18.5","53.0","2019-10-02T21:24:41"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.5","0.0859","0.5312","18.5","53.0","2019-10-02T21:24:52"
"0.01","-0.28","10.31","0.01","-0.28","10.31","0.875","0.0156","0.6484","18.5","52.9","2019-10-02T21:25:02"
"0.0","-0.28","10.33","0.0","-0.28","10.33","0.6797","-0.2812","0.7734","18.5","52.9","2019-10-02T21:25:12"
"-0.01","-0.29","10.29","-0.01","-0.29","10.29","0.9297","0.3672","0.625","18.5","53.2","2019-10-02T21:25:22"
"-0.03","-0.29","10.31","-0.03","-0.29","10.31","0.8438","-0.4688","0.6641","18.5","53.0","2019-10-02T21:25:32"
"-0.02","-0.29","10.3","-0.02","-0.29","10.3","0.7969","0.4219","0.6875","18.5","53.1","2019-10-02T21:25:42"
"-0.0","-0.29","10.31","-0.0","-0.29","10.31","1.1406","-0.2656","0.6406","18.5","53.0","2019-10-02T21:25:52"
"-0.06","-0.25","10.3","-0.06","-0.25","10.3","1.0","0.0859","0.8125","18.5","52.8","2019-10-02T21:26:02"
