"accelerometer","gyroscope","temphum"
"(-0.17467604979999998, 4.1252261624, -8.1786676468, 30.400000000000002, -26.900000000000002, 43.400000000000006)","(0.640625, -0.2890625, 0.78125)","(22.87174792095827, 52.24272392900203)"
"(-0.2081755662, 4.1204405172, -8.212167163199998, 31.1, -27.8, 42.800000000000004)","(0.3828125, -0.40625, 0.359375)","(22.887769893949795, 52.253407200525004)"
"(-0.20338992099999997, 4.1156548719999995, -8.1882389372, 29.700000000000003, -26.6, 44.6)","(0.8671875, -0.1484375, 0.4765625)","(22.87174792095827, 52.25188101887886)"
"(-0.2009970984, 4.103690759, -8.216952808399999, 30.200000000000003, -26.8, 42.2)","(1.0703125, -0.46875, 0.609375)","(22.87174792095827, 52.265616653694124)"
"(-0.18664016279999998, 4.1419759206, -8.219345631, 30.200000000000003, -27.8, 45.1)","(0.0, -0.3046875, 0.390625)","(22.87174792095827, 52.29461410497077)"
"(-0.19860427579999998, 4.1228333398, -8.1738820016, 31.0, -27.5, 43.900000000000006)","(0.3125, -0.09375, 0.59375)","(22.858396276798658, 52.253407200525004)"
"(-0.20338992099999997, 4.1204405172, -8.2025958728, 30.400000000000002, -28.200000000000003, 43.1)","(0.5, -0.1953125, 0.28125)","(22.87174792095827, 52.29461410497077)"
"(-0.20338992099999997, 4.1108692268, -8.219345631, 30.900000000000002, -28.400000000000002, 43.7)","(0.4375, -0.7265625, 0.40625)","(22.858396276798658, 52.27172138027868)"
"(-0.19860427579999998, 4.1180476945999995, -8.195417404999999, 30.3, -27.1, 43.2)","(0.8046875, -0.1015625, 0.5546875)","(22.858396276798658, 52.32971628283198)"
"(-0.20338992099999997, 4.1180476945999995, -8.238488211799998, 31.1, -27.8, 44.6)","(0.578125, 0.046875, 0.4609375)","(22.858396276798658, 52.32055919295514)"
"(-0.19860427579999998, 4.1252261624, -8.212167163199998, 32.5, -28.400000000000002, 46.2)","(0.0703125, -0.8515625, 0.453125)","(22.858396276798658, 52.326663919539705)"
"(-0.18664016279999998, 4.1180476945999995, -8.2097743406, 31.200000000000003, -27.8, 44.900000000000006)","(0.9609375, -0.21875, 0.453125)","(22.858396276798658, 52.33124246447812)"
"(-0.18903298539999996, 4.1156548719999995, -8.1882389372, 31.6, -27.700000000000003, 43.6)","(0.5546875, -0.078125, 0.4296875)","(22.845044632639045, 52.35260900752407)"
"(-0.19860427579999998, 4.1228333398, -8.1882389372, 32.0, -27.200000000000003, 45.6)","(0.859375, -0.1015625, 0.40625)","(22.858396276798658, 52.33887337270882)"
"(-0.18185451759999996, 4.139583098, -8.2241312762, 31.3, -26.3, 43.800000000000004)","(0.625, -0.3984375, 0.453125)","(22.845044632639045, 52.35871373410863)"
"(-0.2081755662, 4.137190275399999, -8.190631759799999, 30.5, -28.200000000000003, 44.5)","(0.625, -0.5234375, 0.40625)","(22.845044632639045, 52.30682355813989)"
"(-0.19142580799999998, 4.113262049399999, -8.200203050199999, 31.200000000000003, -26.900000000000002, 45.6)","(0.75, -0.2578125, 0.59375)","(22.858396276798658, 52.3342948277704)"
"(-0.2009970984, 4.127618985, -8.2097743406, 31.6, -27.6, 44.2)","(0.8828125, -0.515625, 0.609375)","(22.858396276798658, 52.31750682966286)"
"(-0.19142580799999998, 4.1252261624, -8.207381518, 31.200000000000003, -26.400000000000002, 45.6)","(0.5390625, 0.203125, 0.6875)","(22.831692988479446, 52.32208537460129)"
